,Match_id,Innings,Player_name,Batting_number,Over_start_number,Runs_Scored,Balls_faced,Dots,Ones,Twos,Thress,Fours,Sixs,FOW_score,FOW_over,FOW_batting_number,FOW_bowler,Wicket_method,Overs_bowled,Runs_conceded,Wickets_taken,Maiden_overs,Extras,co-batsmen wicket fallen
0,1000887,1,DA Warner,1,0.1,7,18,15,3,0,0,1,0,13,4.3,1,Mohammad Amir,bowled,0,0,0,0,0,0
1,1000887,1,TM Head,2,0.1,39,39,19,13,1,0,6,0,67,12.6,4,Imad Wasim,caught,10,30,0,0,2,2
2,1000887,1,SPD Smith,3,4.4,0,1,1,0,0,0,0,0,13,4.4,2,Mohammad Amir,caught,0,0,0,0,0,-1
3,1000887,1,CA Lynn,4,4.5,16,12,8,3,0,1,1,1,52,9.2,3,Hasan Ali,caught,0,0,0,0,0,-1
4,1000887,1,MR Marsh,5,9.3,4,17,13,4,0,0,0,0,78,16.2,5,Imad Wasim,caught,6,27,1,0,0,0
5,1000887,1,GJ Maxwell,6,13.1,60,56,24,22,5,0,7,0,160,30.7,6,Hasan Ali,caught,0,0,0,0,0,0
6,1000887,1,MS Wade,7,16.3,100,99,41,44,8,0,7,2,-1,-1,-1,-1,-1,0,0,0,0,0,-8
7,1000887,1,JP Faulkner,8,31.1,5,12,9,3,1,0,0,0,170,33.6,7,Mohammad Nawaz (3),caught,7,34,4,0,2,-1
8,1000887,1,PJ Cummins,9,34.1,15,31,21,9,3,0,0,0,212,42.6,8,Mohammad Amir,run out,8.4,33,3,0,2,-1
9,1000887,1,MA Starc,10,42.7,10,8,3,4,0,0,0,1,235,45.4,9,Hasan Ali,bowled,8,38,2,0,6,-1
10,1000887,1,B Stanlake,11,45.5,1,6,5,1,0,0,0,0,-1,-1,-1,-1,-1,3,14,0,0,2,-12
11,1000887,2,Azhar Ali,1,0.1,24,47,32,13,4,1,0,0,163,39.6,8,JP Faulkner,caught,0,0,0,0,0,7
12,1000887,2,Sharjeel Khan,2,0.1,18,21,15,4,2,0,1,1,38,8.1,1,JP Faulkner,caught,0,0,0,0,0,-1
13,1000887,2,Mohammad Hafeez,3,8.2,4,7,6,1,0,1,0,0,47,10.1,2,JP Faulkner,caught,7,23,0,0,1,-1
14,1000887,2,Babar Azam,4,10.2,33,46,28,11,2,2,3,0,109,25.5,4,PJ Cummins,caught,0,0,0,0,0,0
