Series,Player,Weighted Average,Rising star,ID Playes
England in Bangladesh ODI Series,Nasir Hossain,69.3264,985,"[1029821, 1029823]"
England in Bangladesh ODI Series,AU Rashid,50.90963721,1599,"[1029819, 1029821, 1029823]"
England in Bangladesh ODI Series,Taskin Ahmed,9.999,1615,"[1029819, 1029821, 1029823]"
England in Bangladesh ODI Series,JJ Roy,93.12560714,994,"[1029819, 1029821]"
England in Bangladesh ODI Series,Sabbir Rahman,144.5891952,1541,"[1029819, 1029821, 1029823]"
England in Bangladesh ODI Series,Mashrafe Mortaza,83.56635517,1568,"[1029819, 1029821, 1029823]"
England in Bangladesh ODI Series,Shafiul Islam,2.3331,1615,"[1029819, 1029821, 1029823]"
England in Bangladesh ODI Series,LE Plunkett,0,583,[1029823]
England in Bangladesh ODI Series,Tamim Iqbal,124.3223757,1535,"[1029819, 1029821, 1029823]"
England in Bangladesh ODI Series,Mahmudullah,169.1033355,1504,"[1029819, 1029821, 1029823]"
England in Bangladesh ODI Series,BA Stokes,166.622225,1479,"[1029819, 1029821, 1029823]"
England in Bangladesh ODI Series,JM Vince,112.1509459,1578,"[1029819, 1029821, 1029823]"
England in Bangladesh ODI Series,MM Ali,75.25173333,1624,"[1029819, 1029821, 1029823]"
England in Bangladesh ODI Series,Mosaddek Hossain,104.2737596,1544,"[1029819, 1029821, 1029823]"
England in Bangladesh ODI Series,Shakib Al Hasan,123.3426429,1525,"[1029819, 1029821, 1029823]"
England in Bangladesh ODI Series,Imrul Kayes,200.1977285,1435,"[1029819, 1029821, 1029823]"
England in Bangladesh ODI Series,JT Ball,59.085,1605,"[1029819, 1029821, 1029823]"
England in Bangladesh ODI Series,SW Billings,73.61099565,517,[1029823]
England in Bangladesh ODI Series,JC Buttler,210.7155366,1482,"[1029819, 1029821, 1029823]"
England in Bangladesh ODI Series,Mushfiqur Rahim,166.7468607,1507,"[1029819, 1029821, 1029823]"
England in Bangladesh ODI Series,JM Bairstow,91.11457736,1583,"[1029819, 1029821, 1029823]"
England in Bangladesh ODI Series,BM Duckett,148.1752262,1504,"[1029819, 1029821, 1029823]"
England in Bangladesh ODI Series,DJ Willey,23.34175161,1041,"[1029819, 1029821]"
England in Bangladesh ODI Series,CR Woakes,146.9368718,1584,"[1029819, 1029821, 1029823]"
England in Bangladesh ODI Series,Mosharraf Hossain,21.29416667,589,[1029819]
United Arab Emirates v Afghanistan ODI Series,AM Guruge,0,1120,"[803795, 803797]"
United Arab Emirates v Afghanistan ODI Series,Usman Ghani,45.9752,1058,"[803795, 803797]"
United Arab Emirates v Afghanistan ODI Series,Dawlat Zadran,27.3306,1074,"[803795, 803797]"
United Arab Emirates v Afghanistan ODI Series,Mohammad Tauqir,0,521,[803795]
United Arab Emirates v Afghanistan ODI Series,Afsar Zazai,139.6531462,953,[803795, 803797]
United Arab Emirates v Afghanistan ODI Series,Javed Ahmadi,0,510,[803795]
United Arab Emirates v Afghanistan ODI Series,Mohammad Shahzad (2),85.71072632,516,[803797]
United Arab Emirates v Afghanistan ODI Series,Samiullah Shenwari,116.3058286,1021,"[803795, 803797]"
United Arab Emirates v Afghanistan ODI Series,Khurram Khan,187.9812,926,"[803795, 803797]"
United Arab Emirates v Afghanistan ODI Series,Mohammad Nabi,94.50778966,1029,"[803795, 803797]"
United Arab Emirates v Afghanistan ODI Series,Krishna Chandran,37.2993,1109,"[803795, 803797]"
United Arab Emirates v Afghanistan ODI Series,Asghar Stanikzai,90.4556,1025,"[803795, 803797]"
United Arab Emirates v Afghanistan ODI Series,Amjad Javed,0,522,[803795]
United Arab Emirates v Afghanistan ODI Series,Mirwais Ashraf,174.9219,1043,"[803795, 803797]"
United Arab Emirates v Afghanistan ODI Series,Shaiman Anwar,83.06481709,1080,"[803795, 803797]"
United Arab Emirates v Afghanistan ODI Series,Gulbadin Naib,108.0526857,1044,"[803795, 803797]"
United Arab Emirates v Afghanistan ODI Series,Saqib Ali,92.16879892,1069,"[803795, 803797]"
United Arab Emirates v Afghanistan ODI Series,SP Patil,17.61728571,518,[803795]
United Arab Emirates v Afghanistan ODI Series,Shapoor Zadran,0,509,[803795]
United Arab Emirates v Afghanistan ODI Series,Amjad Ali,120.0875571,1038,"[803795, 803797]"
United Arab Emirates v Afghanistan ODI Series,Mohammad Naveed,0,1120,"[803795, 803797]"
United Arab Emirates v Afghanistan ODI Series,Hamid Hassan,0,568,[803797]
United Arab Emirates v Afghanistan ODI Series,Sharafuddin Ashraf,12.4432,567,[803797]
United Arab Emirates v Afghanistan ODI Series,Nawroz Mangal,184.3227056,871,"[803795, 803797]"
United Arab Emirates v Afghanistan ODI Series,AR Berenger,116.1091609,1059,"[803795, 803797]"
