Series,Player,Weighted Average,Rising star,ID Playes
NatWest Series,XJ Doherty,-28,-320.4615937,"[534215, 534216, 534219]"
NatWest Series,F du Plessis,-5,-535.6368178,"[534229, 534230, 534231, 534232]"
NatWest Series,L Ronchi,0,-454.5333333,"[566923, 566924]"
NatWest Series,JP Faulkner,-56,-342.3384615,"[566942, 566944, 566945]"
NatWest Series,JP Duminy,-18,-530.6368178,"[534229, 534230, 534231, 534232]"
NatWest Series,SR Watson,-115,-573.2476743,"[534215, 534216, 566942, 566944, 566945]"
NatWest Series,GD Elliott,-7,-459.5333333,"[566923, 566924]"
NatWest Series,PJ Forrest,0,-221.5171493,"[534216, 534219]"
NatWest Series,AC Voges,-32,-337.3384615,"[566942, 566944, 566945]"
NatWest Series,C Kieswetter,0,-829.3924615,"[534209, 534215, 534216, 534229, 534230, 534231, 534232]"
NatWest Series,DW Steyn,-41,-403.1368178,"[534230, 534231, 534232]"
NatWest Series,DJ Hussey,0,-324.4615937,"[534215, 534216, 534219]"
NatWest Series,RJ Peterson,-34,-537.6368178,"[534229, 534230, 534231, 534232]"
NatWest Series,CR Woakes,0,-117.3794521,"[534232, 566923, 566924]"
NatWest Series,JW Dernbach,-91,-562.3591282,"[534216, 534230, 534231, 534232, 566923, 566924]"
NatWest Series,JE Root,-25,-334.732967,"[566923, 566924, 566942, 566944, 566945]"
NatWest Series,GJ Bailey,0,-625.8000553,"[534215, 534216, 534219, 566942, 566944, 566945]"
NatWest Series,LJ Wright,0,-76.67582418,[566945]
NatWest Series,EJG Morgan,0,-1314.192095,"[534209, 534215, 534216, 534219, 534229, 534230, 534231, 534232, 566923, 566924, 566942, 566944, 566945]"
NatWest Series,DA Warner,0,-315.4615937,"[534215, 534216, 534219]"
NatWest Series,TG Southee,-8,-131.6,[566923]
NatWest Series,BW Hilfenhaus,-13,-78.55238095,[534219]
NatWest Series,MN Samuels,-12,-59.7,[534209]
NatWest Series,RS Bopara,-92,-1252.092095,"[534209, 534215, 534216, 534219, 534229, 534230, 534231, 534232, 566942, 566944, 566945]"
NatWest Series,DAJ Bracewell,-27,-335.9333333,[566924]
NatWest Series,IJL Trott,0,-1177.236819,"[534209, 534215, 534216, 534219, 534229, 534230, 534231, 566923, 566924, 566942, 566944]"
NatWest Series,ST Finn,-158,-1135.136819,"[534209, 534215, 534216, 534219, 534229, 534230, 534231, 566942, 566944]"
NatWest Series,AD Russell,0,-55.7,[534209]
NatWest Series,NM Coulter-Nile,-24,-91.4,[566944]
NatWest Series,AB de Villiers,0,-513.6368178,"[534229, 534230, 534231, 534232]"
NatWest Series,JM Bairstow,0,-34.27945205,[534232]
NatWest Series,Fawad Ahmed,-50,-243.9384615,"[566942, 566945]"
NatWest Series,GC Smith,0,-521.6368178,"[534229, 534230, 534231, 534232]"
NatWest Series,PJ Hughes,0,-108.7241758,[566945]
NatWest Series,MJ McClenaghan,-21,-483.5333333,"[566923, 566924]"
NatWest Series,SE Marsh,0,-228.6142857,"[566942, 566944]"
NatWest Series,SR Patel,0,-505.5548489,"[534219, 534229, 534230, 534231, 534232]"
NatWest Series,BA Stokes,-31,-246.632967,"[566942, 566944, 566945]"
NatWest Series,TT Bresnan,-61,-699.3042793,"[534209, 534215, 534216, 534229, 566923, 566924]"
NatWest Series,NL McCullum,-36,-460.5333333,"[566923, 566924]"
NatWest Series,JC Tredwell,-66,-721.8878159,"[534219, 534230, 534231, 534232, 566942, 566944, 566945]"
NatWest Series,GP Swann,-94,-685.3042793,"[534209, 534215, 534216, 534229, 566923, 566924]"
NatWest Series,BB McCullum,0,-451.5333333,"[566923, 566924]"
NatWest Series,CJ Jordan,-10,-79.67582418,[566945]
NatWest Series,JEC Franklin,0,-443.5333333,"[566923, 566924]"
NatWest Series,MJ Guptill,0,-426.5333333,"[566923, 566924]"
NatWest Series,D Elgar,-21,-520.6368178,"[534229, 534230, 534231, 534232]"
NatWest Series,B Lee,-30,-239.9092128,"[534215, 534216]"
NatWest Series,MA Carberry,0,-235.632967,"[566942, 566944, 566945]"
NatWest Series,KP Pietersen,0,-238.632967,"[566942, 566944, 566945]"
NatWest Series,MJ Clarke,-15,-665.8000553,"[534215, 534216, 534219, 566942, 566944, 566945]"
NatWest Series,IR Bell,0,-1060.559128,"[534209, 534215, 534216, 534219, 534229, 534230, 534231, 534232, 566923, 566924]"
NatWest Series,JL Pattinson,0,-62.55238095,[534219]
NatWest Series,LRPL Taylor,0,-444.5333333,"[566923, 566924]"
NatWest Series,R McLaren,-27,-258.875,"[534229, 534231]"
NatWest Series,SCJ Broad,-66,-622.9709459,"[534209, 534215, 534216, 534219]"
NatWest Series,DM Bravo,0,-60.7,[534209]
NatWest Series,SPD Smith,0,-178.4968254,"[534215, 534219]"
NatWest Series,JM Anderson,-68,-943.4881822,"[534209, 534215, 534219, 534229, 534230, 534231, 534232, 566923, 566924]"
NatWest Series,R Rampaul,-33,-57.7,[534209]
NatWest Series,PJ Cummins,-29,-112.9444444,[534215]
NatWest Series,SP Narine,-27,-58.7,[534209]
NatWest Series,WD Parnell,-53,-528.6368178,"[534229, 534230, 534231, 534232]"
NatWest Series,DR Smith,0,-53.7,[534209]
NatWest Series,MS Wade,0,-665.8000553,"[534215, 534216, 534219, 566942, 566944, 566945]"
NatWest Series,DJ Bravo,-28,-56.7,[534209]
